Rec(t='1493058564.94', event='commit_move', piece='M', move_nu='15', move='(3, 0, 2)', instance='Jam-9'),4,46,377,232,32
Rec(t='1493058569.76', event='commit_move', piece='g', move_nu='16', move='(2, 1, 2)', instance='Jam-9'),3,10,85,64,10
Rec(t='1493058573.14', event='commit_move', piece='l', move_nu='17', move='(5, 0, 2)', instance='Jam-9'),2,5,47,39,5
Rec(t='1493058575.39', event='commit_move', piece='r', move_nu='18', move='(4, 2, 2)', instance='Jam-9'),2,0,0,0,0
Rec(t='1493058577.1', event='start', piece='None', move_nu='0', move='None', instance='Jam-10'),18,453028,3681145,197786,1662
Rec(t='1493058583.82', event='commit_move', piece='M', move_nu='0', move='(3, 0, 2)', instance='Jam-10'),17,318206,2596621,146246,1662
Rec(t='1493058587.97', event='commit_move', piece='y', move_nu='1', move='(5, 0, 3)', instance='Jam-10'),16,208399,1691813,97610,1659
Rec(t='1493058592.94', event='commit_move', piece='r', move_nu='2', move='(3, 2, 2)', instance='Jam-10'),15,109554,885290,49472,1662
Rec(t='1493058609.28', event='commit_move', piece='w', move_nu='3', move='(3, 3, 3)', instance='Jam-10'),14,99783,814101,49185,1662
Rec(t='1493058615.67', event='commit_move', piece='w', move_nu='4', move='(1, 3, 3)', instance='Jam-10'),15,107841,869698,46532,1662
Rec(t='1493058618.52', event='commit_move', piece='r', move_nu='5', move='(1, 2, 2)', instance='Jam-10'),16,210355,1709479,91963,1661
Rec(t='1493058629.11', event='commit_move', piece='w', move_nu='6', move='(3, 3, 3)', instance='Jam-10'),15,106374,868139,49246,1659
Rec(t='1493058639.11', event='commit_move', piece='r', move_nu='7', move='(3, 2, 2)', instance='Jam-10'),14,101096,824699,49362,1662
Rec(t='1493058643.91', event='commit_move', piece='w', move_nu='8', move='(1, 3, 3)', instance='Jam-10'),15,110039,888820,46412,1662
Rec(t='1493058650.28', event='commit_move', piece='y', move_nu='9', move='(5, 1, 3)', instance='Jam-10'),16,115935,931212,46632,1662
Rec(t='1493058661.55', event='commit_move', piece='c', move_nu='10', move='(2, 1, 2)', instance='Jam-10'),16,183302,1466169,106300,1662
Rec(t='1493058664.82', event='commit_move', piece='M', move_nu='11', move='(2, 0, 2)', instance='Jam-10'),17,470375,3827101,356152,1674
Rec(t='1493058673.04', event='commit_move', piece='y', move_nu='12', move='(5, 0, 3)', instance='Jam-10'),16,335594,2752189,267401,1670
Rec(t='1493058684.97', event='commit_move', piece='w', move_nu='13', move='(3, 3, 3)', instance='Jam-10'),15,234780,1943300,196880,1674
Rec(t='1493058688.95', event='commit_move', piece='c', move_nu='14', move='(2, 4, 2)', instance='Jam-10'),14,135099,1179202,141464,1674
Rec(t='1493058693.69', event='commit_move', piece='w', move_nu='15', move='(1, 3, 3)', instance='Jam-10'),13,153356,1332193,45187,1572
